E305	R1	E2121
E441	R1	E1467
E112	R1	E1650
E849	R1	E1964
E2567	R1	E1242
E579	R1	E2154
E2573	R1	E227
E609	R1	E1399
E714	R1	E1697
E561	R1	E1052
E912	R1	E2281
E755	R1	E2218
E677	R1	E1971
E896	R1	E2006
E1352	R1	E2011
E593	R1	E2121
E1304	R1	E211
E566	R1	E1952
E2555	R1	E2163
E130	R1	E1847
E663	R1	E2169
E348	R1	E2363
E535	R1	E2126
E531	R1	E1866
E575	R1	E2340
E702	R1	E2639
E729	R1	E2075
E1552	R0	E2627
E443	R1	E2599
E775	R1	E2043
E73	R1	E2126
E427	R1	E1601
E523	R1	E2407
E181	R1	E2101
E360	R1	E2599
E563	R1	E2300
E698	R1	E2066
E723	R1	E1647
E598	R1	E2129
E776	R1	E1555
E754	R1	E2138
E694	R1	E2041
E609	R1	E2052
E1760	R1	E1809
E576	R1	E2407
E1372	R1	E1696
E705	R1	E1341
E54	R1	E2176
E662	R1	E1801
E444	R1	E2012
E515	R1	E2353
E568	R1	E1528
E695	R1	E2334
E121	R1	E2057
E515	R1	E1427
E1028	R1	E2197
E384	R1	E2312
E837	R1	E1317
E2574	R1	E2293
E2574	R1	E1462
E431	R1	E2109
E606	R1	E2035
E709	R1	E2012
E708	R1	E2064
E413	R1	E1052
E967	R1	E2002
E705	R1	E211
E531	R1	E2233
E708	R1	E1819
E1355	R1	E2189
E361	R1	E2232
E937	R1	E1743
E657	R1	E2092
E1004	R1	E1257
E54	R1	E2016
E122	R1	E2066
E874	R1	E1516
E937	R1	E1436
E83	R1	E1941
E962	R1	E1269
E664	R1	E1505
E83	R1	E1890
E718	R1	E2399
E181	R1	E2438
E721	R1	E2031
E999	R1	E2039
E621	R1	E1876
E415	R1	E2593
E354	R1	E1647
E524	R1	E1680
E607	R1	E1517
E181	R1	E1567
E593	R1	E2160
E662	R1	E1542
E618	R1	E2159
E751	R1	E2340
E568	R1	E2141
E97	R1	E2264
E1788	R1	E2118
E2027	R0	E2627
E1364	R1	E1993
E719	R1	E2375
E615	R1	E1243
E2572	R1	E2338
E1060	R1	E1873
E588	R1	E2000
E913	R1	E1795
E366	R1	E214
E648	R1	E164
E1351	R1	E1877
E1788	R1	E1442
E609	R1	E1556
E1415	R1	E1079
E719	R1	E1610
E702	R1	E216
E2389	R0	E1044
E999	R1	E1432
E408	R1	E1264
E2569	R1	E1294
E54	R1	E1758
E813	R1	E2274
E937	R1	E1696
E566	R1	E1663
E47	R1	E1606
E61	R1	E1895
E1384	R1	E1899
E1359	R1	E2291
E121	R1	E2165
E130	R1	E1855
E688	R1	E1744
E2018	R0	E2533
E617	R1	E1708
E775	R1	E1298
E606	R1	E2494
E1352	R1	E2088
E618	R1	E2140
E347	R1	E1453
E83	R1	E2599
E962	R1	E1472
E922	R1	E2296
E1350	R1	E1341
E1359	R1	E2501
E48	R1	E2271
E181	R1	E2093
E1875	R1	E2268
E526	R1	E210
E278	R1	E2259
E1355	R1	E156
E110	R1	E2142
E657	R1	E2582
E609	R1	E2365
E1375	R1	E1516
E1307	R1	E2340
E515	R1	E2643
E406	R1	E200
E1352	R1	E2224
E666	R1	E1630
E728	R1	E2019
E524	R1	E1693
E708	R1	E1675
E999	R1	E1679
E109	R1	E2302
E1378	R1	E2442
E2576	R1	E1391
E1360	R1	E1758
E2574	R1	E2196
E103	R1	E2008
E1415	R1	E2139
E106	R1	E2364
E403	R1	E2414
E657	R1	E1485
E621	R1	E2283
E120	R1	E1245
E1446	R1	E2006
E526	R1	E1695
E97	R1	E2140
E719	R1	E1746
E1350	R1	E2090
E755	R1	E1703
E427	R1	E1405
E393	R1	E2335
E443	R1	E1978
E400	R1	E1719
E357	R1	E2383
E2572	R1	E1912
E524	R1	E2171
E534	R1	E1312
E154	R1	E1594
E986	R1	E2106
E743	R1	E2316
E695	R1	E1740
E999	R1	E1476
E584	R1	E2446
E618	R1	E1876
E2563	R1	E1740
E838	R1	E1694
E573	R1	E1565
E813	R1	E2223
E354	R1	E1876
E922	R1	E1699
E911	R1	E1490
E750	R1	E2372
E1378	R1	E2396
E1350	R1	E1633
E576	R1	E1497
E605	R1	E1542
E531	R1	E1538
E508	R1	E2620
E913	R1	E1703
E605	R1	E2240
E1780	R1	E1043
E154	R1	E2139
E181	R1	E2407
E593	R1	E1930
E710	R1	E2275
E691	R1	E1389
E2562	R1	E2163
E2564	R1	E2236
E408	R1	E1434
E2576	R1	E1847
E1378	R1	E1956
E593	R1	E2140
E2561	R1	E1675
E427	R1	E1048
E2613	R1	E2289
E318	R1	E1524
E896	R1	E1319
E1760	R1	E2023
E1308	R1	E2415
E1457	R0	E2627
E387	R1	E2066
E719	R1	E1547
E944	R1	E1530
E591	R1	E2192
E783	R1	E2115
E360	R1	E2142
E67	R1	E1464
E694	R1	E2070
E677	R1	E2199
E1028	R1	E1414
E61	R1	E1607
E563	R1	E1648
E340	R1	E1952
E843	R1	E2245
E666	R1	E1528
E765	R1	E1758
E1348	R1	E2265
E729	R1	E1890
E1352	R1	E1648
E518	R1	E1414
E154	R1	E2080
E688	R1	E2062
E1352	R1	E2044
E674	R1	E1967
E301	R2	E1044
E2561	R1	E2287
E305	R1	E1979
E568	R1	E2285
E605	R1	E1402
E1781	R1	E1889
E508	R1	E213
E2573	R1	E1422
E408	R1	E1867
E609	R1	E2018
E729	R1	E2259
E403	R1	E1249
E719	R1	E1460
E360	R1	E1672
E130	R1	E2288
E1372	R1	E1530
E387	R1	E2364
E897	R1	E1726
E874	R1	E1692
E837	R1	E1445
E775	R1	E1879
E1060	R1	E2621
E757	R1	E1731
E122	R1	E2204
E593	R1	E1630
E516	R1	E2279
E1028	R1	E2287
E740	R1	E2446
E566	R1	E1238
E347	R1	E1521
E939	R1	E1342
E784	R1	E2388
E431	R1	E2098
E278	R1	E1283
E903	R1	E2210
E1446	R1	E2393
E598	R2	E1044
E943	R2	E1044
E1062	R2	E2507
E408	R1	E2383
E784	R1	E1347
E101	R1	E2083
E591	R1	E1644
E468	R1	E2163
E613	R1	E1246
E1377	R1	E2451
E991	R1	E1610
E2556	R1	E2584
E506	R1	E1860
E48	R1	E2246
E913	R1	E2017
E122	R1	E1991
E415	R1	E1517
E1760	R1	E1659
E575	R1	E2445
E813	R1	E2043
E574	R1	E2307
E2574	R1	E2100
E613	R1	E1889
E530	R1	E2018
E347	R1	E2136
E692	R1	E2436
E47	R1	E1698
E565	R1	E2594
E714	R1	E2282
E698	R1	E1847
